frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud,brisque_denoised,niqe_denoised,sigma_denoised,var_lap_denoised
1471,frame_01471.png,31.13,24.45,4.673,3.295,7.4129,5.9303,1247.4,206.54,20.24,3.527,5.9303,204.71
1501,frame_01501.png,24.95,18.82,4.039,3.483,10.3781,8.8955,1300.43,277.36,16.14,3.744,8.8955,266.94
1531,frame_01531.png,24.73,18.76,4.047,3.596,10.3781,8.8955,1306.6,275.86,16.56,3.836,8.8955,266.35
1561,frame_01561.png,24.61,19.61,3.931,3.484,10.3781,8.8955,1307.45,291.09,17.47,3.711,8.8955,282.54
1591,frame_01591.png,19.16,15.49,4.708,4.959,14.8258,11.8606,1566.13,589.07,19.04,5.692,11.8606,571.58
1621,frame_01621.png,19.03,15.37,4.694,5.035,14.8258,11.8606,1569.29,613.34,19.05,5.796,11.8606,599.18
1651,frame_01651.png,17.99,14.89,4.736,5.005,14.8258,11.8606,1591.4,620.01,18.9,5.708,11.8606,601.82
1681,frame_01681.png,18.1,14.57,4.446,4.985,16.3084,11.8606,1640.15,663.72,18.54,5.461,11.8606,644.24
1711,frame_01711.png,18.74,14.82,4.708,5.065,14.8258,11.8606,1588.18,639.54,19.01,5.896,11.8606,625.12
1741,frame_01741.png,19.37,15.75,4.827,5.238,14.8258,11.8606,1567.94,619.41,19.13,5.704,11.8606,605.18
1771,frame_01771.png,20.34,16.63,4.663,4.824,14.8258,11.8606,1455.07,522.17,19.55,5.669,11.8606,508.86
1801,frame_01801.png,20.05,10.53,6.129,6.45,8.8955,7.4129,1654.79,249.83,15.86,7.503,7.4129,249.08
1831,frame_01831.png,19.21,12.34,6.584,9.773,8.8955,5.9303,2310.65,179.1,15.9,11.052,4.4477,163.34
1861,frame_01861.png,19.87,14.81,6.2,9.769,8.8955,7.4129,2315.6,174.66,19.0,10.766,4.4477,154.14
1891,frame_01891.png,20.35,11.47,6.969,8.716,8.8955,7.4129,2044.24,206.24,24.21,11.288,7.4129,211.78
1921,frame_01921.png,19.7,11.08,6.69,8.644,10.3781,7.4129,2100.42,207.0,22.89,11.311,7.4129,210.95
1951,frame_01951.png,21.67,12.01,7.358,9.076,10.3781,8.8955,1914.88,216.16,26.54,11.863,8.8955,218.93
1981,frame_01981.png,25.21,12.78,7.442,8.759,7.4129,5.9303,1490.35,156.95,23.87,11.256,5.9303,161.52
2011,frame_02011.png,26.13,12.65,7.827,8.59,7.4129,5.9303,1174.01,132.81,26.02,10.904,5.9303,137.83
2041,frame_02041.png,25.3,12.37,7.379,7.844,7.4129,5.9303,1135.17,136.47,28.22,10.08,5.9303,140.64
2071,frame_02071.png,19.53,14.38,4.694,4.84,13.3432,10.3781,1404.33,468.38,17.2,5.546,11.8606,456.29
2101,frame_02101.png,17.36,13.61,4.665,4.792,14.8258,11.8606,1592.54,641.75,17.81,5.531,11.8606,624.84
2131,frame_02131.png,17.78,13.73,4.7,4.697,14.8258,11.8606,1569.29,627.58,18.01,5.624,11.8606,611.57
2161,frame_02161.png,22.84,11.84,7.282,6.999,7.4129,5.9303,1495.42,168.87,16.58,8.35,5.9303,173.91
2191,frame_02191.png,23.13,12.11,7.423,8.099,7.4129,5.9303,1745.38,180.63,19.4,9.974,5.9303,188.26
2221,frame_02221.png,126.53,95.76,21.423,31.085,0.0,0.0,2365.79,97.41,100.21,30.384,0.0,116.23
2251,frame_02251.png,123.02,103.27,19.238,30.186,0.0,0.0,2368.5,132.4,103.39,29.997,0.0,143.35
2281,frame_02281.png,124.05,104.52,19.709,29.823,0.0,0.0,2368.23,129.05,105.18,29.93,0.0,150.4
2311,frame_02311.png,23.05,13.87,7.565,9.195,7.4129,5.9303,2074.73,226.6,24.12,11.412,5.9303,233.64
2341,frame_02341.png,101.7,103.55,16.578,24.977,0.0,0.0,2357.09,129.51,103.8,24.489,0.0,150.32
2371,frame_02371.png,113.64,102.39,17.459,28.072,0.0,0.0,2377.99,129.39,103.36,27.559,0.0,141.15
2401,frame_02401.png,126.82,110.86,20.071,30.06,0.0,0.0,2378.44,131.83,107.16,29.927,0.0,153.21
2431,frame_02431.png,126.72,107.85,20.03,29.893,0.0,0.0,2389.89,132.71,104.52,29.917,0.0,144.26
2461,frame_02461.png,120.04,102.56,19.469,29.832,0.0,0.0,2386.76,129.96,103.81,29.829,0.0,150.62
2491,frame_02491.png,127.81,112.29,19.883,29.599,0.0,0.0,2388.05,131.2,106.31,29.804,0.0,152.72
2521,frame_02521.png,127.6,119.76,20.331,30.013,0.0,0.0,2371.15,132.68,105.51,29.932,0.0,143.94
2551,frame_02551.png,127.82,120.36,20.377,30.138,0.0,0.0,2384.8,132.3,108.82,29.934,0.0,154.69
2581,frame_02581.png,127.82,109.03,20.734,29.813,0.0,0.0,2375.88,131.85,104.85,29.979,0.0,143.46
2611,frame_02611.png,126.92,106.81,20.0,30.335,0.0,0.0,2373.31,128.58,105.77,29.924,0.0,149.83
2641,frame_02641.png,123.76,104.13,19.668,30.103,0.0,0.0,2384.97,129.09,104.0,29.919,0.0,141.17
2671,frame_02671.png,115.68,102.64,16.338,27.863,0.0,0.0,2382.99,129.74,103.86,27.753,0.0,151.47
2701,frame_02701.png,43.01,57.12,7.252,10.468,2.9652,2.9652,2315.05,149.73,55.49,10.337,1.4826,154.67
2731,frame_02731.png,35.01,48.32,6.852,9.839,2.9652,2.9652,2327.47,154.58,50.76,10.701,1.4826,156.99
2761,frame_02761.png,34.25,45.79,6.474,9.298,2.9652,2.9652,2318.25,118.48,47.31,10.296,1.4826,127.13
2791,frame_02791.png,21.51,14.24,6.922,9.586,8.8955,7.4129,2202.7,204.59,23.46,11.591,7.4129,205.69
2821,frame_02821.png,21.87,14.75,7.288,10.077,8.8955,7.4129,2249.12,202.47,23.88,11.843,7.4129,200.38
2851,frame_02851.png,22.58,14.96,6.64,9.894,10.3781,7.4129,2292.07,194.27,20.57,11.832,5.9303,176.92
2881,frame_02881.png,88.18,103.91,11.339,19.271,0.0,0.0,2366.24,100.31,101.93,17.569,0.0,117.82
2911,frame_02911.png,86.11,102.63,10.844,18.946,0.0,0.0,2366.17,100.6,101.41,17.655,0.0,117.83
2941,frame_02941.png,126.47,95.93,20.331,30.185,0.0,0.0,2379.01,97.56,100.22,29.979,0.0,116.32
2971,frame_02971.png,124.59,98.56,20.122,30.204,0.0,0.0,2377.94,97.72,102.12,29.916,0.0,116.39
3001,frame_03001.png,76.2,90.8,7.918,13.452,1.4826,0.0,2281.01,103.23,88.71,16.108,0.0,120.22
3031,frame_03031.png,126.06,98.76,20.328,29.75,0.0,0.0,2375.52,97.72,102.32,29.639,0.0,116.46
3061,frame_03061.png,126.94,95.62,19.755,30.206,0.0,0.0,2383.68,97.64,100.73,29.834,0.0,116.35
3091,frame_03091.png,127.46,96.82,19.903,30.174,0.0,0.0,2386.36,97.56,99.9,29.953,0.0,116.29
3121,frame_03121.png,127.25,95.67,19.739,30.099,0.0,0.0,2378.9,97.63,100.48,29.883,0.0,116.34
3151,frame_03151.png,127.05,98.43,19.698,30.179,0.0,0.0,2398.7,97.56,99.94,29.886,0.0,116.3
3181,frame_03181.png,127.35,100.34,20.402,30.372,0.0,0.0,2395.78,97.47,99.03,30.008,0.0,116.21
3211,frame_03211.png,126.36,95.88,19.805,30.171,0.0,0.0,2380.61,97.57,100.06,29.954,0.0,116.31
3241,frame_03241.png,115.43,104.72,20.939,28.618,0.0,0.0,2389.21,98.07,105.17,27.99,0.0,116.8
