frame_idx,nombre_archivo,brisque_orig,brisque_sin_hud,niqe_orig,niqe_sin_hud,sigma_orig,sigma_sin_hud,var_lap_orig,var_lap_sin_hud
1,frame_00001.png,45.78,50.13,5.575,5.676,2.9652,2.9652,155.07,35.86
16,frame_00016.png,40.11,46.4,5.713,6.142,2.9652,2.9652,272.06,112.47
31,frame_00031.png,26.86,34.87,4.829,5.667,4.4477,2.9652,442.9,140.61
46,frame_00046.png,24.23,29.33,4.742,5.268,4.4477,2.9652,476.0,141.44
61,frame_00061.png,28.17,34.36,4.931,5.481,4.4477,2.9652,453.23,146.73
76,frame_00076.png,44.96,48.38,5.818,5.516,2.9652,2.9652,579.98,158.78
91,frame_00091.png,46.52,47.47,6.031,5.642,5.9303,4.4477,228.42,101.8
106,frame_00106.png,31.39,36.48,5.018,5.318,5.9303,4.4477,412.23,139.93
121,frame_00121.png,28.4,34.18,4.483,4.811,5.9303,4.4477,421.67,150.56
136,frame_00136.png,34.8,39.45,5.003,5.15,4.4477,4.4477,330.03,137.86
151,frame_00151.png,35.46,38.85,4.935,5.155,5.9303,4.4477,310.91,149.24
166,frame_00166.png,34.67,38.18,5.046,5.218,4.4477,4.4477,316.06,160.78
181,frame_00181.png,37.07,40.59,4.997,4.914,4.4477,4.4477,286.28,138.55
196,frame_00196.png,32.86,38.28,4.967,5.075,4.4477,4.4477,405.24,138.01
211,frame_00211.png,94.7,105.13,16.189,27.15,0.0,0.0,1216.62,383.91
226,frame_00226.png,50.18,49.31,5.906,5.656,2.9652,2.9652,229.54,130.64
241,frame_00241.png,88.72,110.04,20.27,24.014,0.0,0.0,278.28,3.12
256,frame_00256.png,69.76,73.34,6.673,6.917,0.0,0.0,880.56,488.08
271,frame_00271.png,70.18,76.04,9.565,9.021,0.0,0.0,402.37,68.04
286,frame_00286.png,53.26,55.16,6.922,7.234,2.9652,2.9652,265.37,94.27
301,frame_00301.png,49.65,51.19,6.42,6.803,2.9652,2.9652,177.86,52.8
316,frame_00316.png,40.06,45.81,5.808,6.162,2.9652,2.9652,284.02,74.11
331,frame_00331.png,30.0,36.41,5.382,6.127,2.9652,2.9652,482.62,84.06
346,frame_00346.png,19.94,24.49,4.205,5.121,4.4477,2.9652,569.95,87.26
361,frame_00361.png,19.68,26.21,4.231,5.302,4.4477,2.9652,540.91,84.52
376,frame_00376.png,17.88,22.63,3.749,4.906,4.4477,4.4477,567.02,84.42
391,frame_00391.png,29.66,36.82,4.84,5.816,4.4477,2.9652,394.34,75.63
406,frame_00406.png,18.82,23.93,3.918,5.164,4.4477,2.9652,524.11,75.69
421,frame_00421.png,31.55,39.81,5.312,6.037,2.9652,2.9652,398.75,69.77
436,frame_00436.png,21.04,25.73,3.996,4.972,4.4477,2.9652,510.26,69.28
451,frame_00451.png,34.12,40.45,5.398,5.926,2.9652,2.9652,275.83,61.76
466,frame_00466.png,33.58,38.18,5.573,5.602,2.9652,2.9652,285.34,60.5
481,frame_00481.png,30.74,40.22,5.33,5.684,4.4477,2.9652,320.04,62.91
496,frame_00496.png,25.36,34.3,4.631,5.295,4.4477,2.9652,394.82,68.84
511,frame_00511.png,55.42,64.94,7.88,8.331,0.0,0.0,719.69,322.95
526,frame_00526.png,42.08,41.45,6.085,5.908,2.9652,2.9652,252.46,124.28
541,frame_00541.png,33.38,36.22,5.111,5.005,4.4477,2.9652,444.43,195.14
556,frame_00556.png,22.23,29.84,4.138,4.29,4.4477,4.4477,590.5,180.63
571,frame_00571.png,90.97,110.72,21.31,20.942,0.0,0.0,330.5,6.16
586,frame_00586.png,41.52,52.43,6.698,6.641,1.4826,1.4826,784.81,276.47
601,frame_00601.png,49.91,51.04,6.187,5.524,2.9652,2.9652,184.23,92.2
616,frame_00616.png,32.66,39.02,4.484,4.533,4.4477,4.4477,541.06,145.89
631,frame_00631.png,53.08,56.11,6.255,6.457,2.9652,2.9652,142.04,47.07
646,frame_00646.png,50.52,50.89,6.0,5.865,2.9652,2.9652,164.55,79.07
661,frame_00661.png,32.51,40.09,4.715,4.91,4.4477,4.4477,556.87,142.92
676,frame_00676.png,70.35,73.17,9.947,9.956,1.4826,1.4826,242.23,28.43
691,frame_00691.png,77.98,85.82,12.971,12.141,0.0,0.0,898.26,389.59
706,frame_00706.png,47.63,50.53,6.432,6.136,2.9652,2.9652,136.13,53.78
721,frame_00721.png,42.63,43.2,5.631,5.801,2.9652,2.9652,162.13,66.68
736,frame_00736.png,29.42,33.74,4.943,5.071,2.9652,2.9652,349.18,106.37
751,frame_00751.png,47.43,50.52,5.182,5.029,2.9652,2.9652,256.04,109.36
766,frame_00766.png,48.69,48.57,6.551,5.767,2.9652,2.9652,170.04,82.84
781,frame_00781.png,37.49,42.34,5.508,4.892,2.9652,2.9652,432.25,155.36
796,frame_00796.png,27.53,34.21,4.332,4.621,4.4477,2.9652,659.82,164.25
811,frame_00811.png,30.73,35.4,3.966,4.666,4.4477,2.9652,689.73,201.83
826,frame_00826.png,33.3,38.11,4.129,4.833,4.4477,2.9652,627.87,176.77
841,frame_00841.png,31.5,36.82,4.088,4.754,4.4477,2.9652,723.39,201.42
856,frame_00856.png,33.26,35.46,4.088,4.71,4.4477,2.9652,621.07,192.87
871,frame_00871.png,28.4,32.66,3.769,4.456,4.4477,2.9652,777.05,231.24
886,frame_00886.png,31.27,34.86,3.902,4.745,4.4477,2.9652,707.98,210.71
901,frame_00901.png,28.43,32.39,3.561,4.197,4.4477,4.4477,859.95,262.39
916,frame_00916.png,32.81,35.85,4.014,4.723,4.4477,2.9652,714.46,211.66
931,frame_00931.png,29.39,33.36,4.063,4.897,4.4477,2.9652,811.29,246.05
946,frame_00946.png,24.38,28.99,3.439,4.341,4.4477,4.4477,917.72,292.47
961,frame_00961.png,24.56,29.11,3.58,4.554,4.4477,4.4477,888.17,277.43
976,frame_00976.png,29.49,33.45,3.971,4.663,4.4477,2.9652,758.3,229.86
991,frame_00991.png,28.13,32.16,3.814,4.543,4.4477,2.9652,834.3,260.77
1006,frame_01006.png,28.1,32.27,3.837,4.658,4.4477,2.9652,752.13,240.3
1021,frame_01021.png,28.55,32.96,3.861,4.665,4.4477,2.9652,724.53,225.87
1036,frame_01036.png,66.66,72.65,9.464,9.061,0.0,0.0,474.69,195.63
1051,frame_01051.png,50.93,48.05,6.103,6.267,2.9652,2.9652,216.82,74.36
1066,frame_01066.png,39.88,41.12,4.859,5.192,2.9652,2.9652,463.94,157.98
1081,frame_01081.png,32.87,36.17,4.331,4.629,2.9652,2.9652,632.28,181.69
1096,frame_01096.png,35.9,40.67,4.687,5.174,2.9652,2.9652,687.18,176.3
1111,frame_01111.png,33.06,38.28,4.096,4.949,2.9652,2.9652,704.44,183.34
1126,frame_01126.png,25.52,34.05,4.134,4.901,4.4477,2.9652,677.99,117.91
1141,frame_01141.png,29.0,37.45,4.678,5.18,2.9652,2.9652,614.94,120.66
1156,frame_01156.png,26.67,34.55,4.016,4.501,4.4477,2.9652,715.31,129.87
1171,frame_01171.png,49.13,53.93,7.633,7.635,1.4826,1.4826,312.08,40.85
